chercheur	rôle	établissement
Leween, Jackson, Tékeniyáhsen Ohkwá:ri (Two Bears)	Cocandidat	University of Lethbridge
Lewis, Jason	Chercheur principal désigné	Université Concordia
Li, Fengwang	Collaborateur	University of Sydney
Lin, Kuo-Shyan	Cocandidat	The University of British Columbia
Lindo, Zoe	Cocandidat	Western University
Lindsay, Patrice	Collaborateur	Heart and Stroke Foundation
Lipinskaya, Tatsiana	Cocandidat	Scientific and Practical Center for Bioresources of the National Academy of Sciences of Belarus
Lipton, Mark	Collaborateur	Cambridge Brain Sciences
Little Bear, Leroy	Collaborateur	University of Lethbridge
Littlechild, Danika	Cochercheur principal	Carleton University
Littlechild, Josh	Collaborateur	Ermineskin Cree Nation (Region 11)
Liu, Chenxi	Cocandidat	Institute of Plant Protection, Chinese Academy of Agricultural Sciences
Liu, Mingyao	Cochercheur principal	University Health Network
Longo, Frank	Collaborateur	PharmatrophiX
Loode, Olivier	Collaborateur	URALIC
Lopez-Bastos, Emmanuelle	Collaborateur	United Food and Commercial Workers Canada (UFCW - Canada)
Lord, Sarah	Collaborateur	 Gwich'in Renewable Resources Board (Region 3)
Low, Mike	Collaborateur	Deh cho First Nations (Region 5)
Chercheur	Rôle	Établissement
Lowe, Lana	Collaborateur	Fort Nelson First Nation (Region 15)
Lu, Dau-Jaye	Collaborateur	National Taiwan University (Region 32)
Luhovyy, Bohdan	Cocandidat	Mount Saint Vincent University
Luyt, Leonard	Cocandidat	Western University
Lyver, Phil	Collaborateur	Manaaki Whenua - Landcare Research (Region 34)
MacDonald, Penny	Cocandidat	Western University
MacDonald, Michael	Collaborateur	Jazz Aviation
Macdonald, Tara	Collaborateur	Biologica Environmental
MacDowell, Niall	Collaborateur	Imperial College London
MacLachlan, Mark	Cochercheur principal	The University of British Columbia
MacLean, Heather	Cochercheur principal	University of Toronto
MacParland, Sonya	Cocandidat	University Health Network
Madden, John	Chercheur principal désigné	The University of British Columbia
MacQuarrie, Stephanie	Cocandidat	Cape Breton University
Maine, Elicia	Cocandidat	Simon Fraser University
Maisel, Jordana	Cocandidat	Center for Inclusive Design and Environmental Access/University at Buffalo, State University of New York
Malik, Roma	Collaborateur	All India Union of Forest Working Group (Region 29)
Malinen, Sanna	Collaborateur	University of Canterbury
Mangat, Rick	Collaborateur	Traferox Technologies
Marchese, Diego	Collaborateur	Heart and Stroke Foundation
Marcotte, Michele	Collaborateur	Agriculture et agroalimentaire Canada
Maria, Ash	Collaborateur	Canadian National Institute for the Blind (CNIB)
Marshall, Carrie Anne	Cocandidat	Western University
Marshall, Craig	Collaborateur	OrganOx
Martinu, Tereza	Cochercheur principal	University Health Network
Mattar, Pierre	Cochercheur principal	Institut de recherche de l'Hôpital d'Ottawa
Mauzeroll, Janine	Cochercheur principal	Université McGill
May, Michael	Collaborateur	Centre for Commercialization of Regenerative Medicine
Mayall, Robert	Collaborateur	FREDSense Technologies Corporation
McAiney, Carrie	Cocandidat	University of Waterloo
McBride, Chris	Collaborateur	Spinal Cord Injury BC
McDivitt, Tina	Collaborateur	Spindle
McGill, Iain	Collaborateur	Quell Therapeutics
McGraw, John	Collaborateur	Izotropic Corporation
McGuiness, Christine	Collaborateur	Solvay
McIlwraith, Thomas	Cocandidat	University of Guelph
McKelvey, Fenwick	Cocandidat	Université Concordia
McKenzie, Debbie	Cocandidat	University of Alberta
McLean, Alastair	Cocandidat	Queen's University
Meinzen-Dick, Ruth	Cocandidat	International Food Policy Research Institute
Melgar-Quinonez, Hugo	Cocandidat	Université McGill
Menon, Ravi	Chercheur principal désigné	Western University
McLaurin, Joanne	Cochercheur principal	Sunnybrook Research Institute
meyer, manulani	Cocandidat	University of Hawaii West Oahu
Michel, Laura Jane	Collaborateur	Lutsel K'e Dene First Nation (Region 6)
Miller, Joseph	Collaborateur	Global Biodiversity Information Facility
Miller, Marc	Collaborateur	Services aux Autochtones Canada
Miller, Scott	Cocandidat	National Museum of Natural History
Milosevic, Michael	Collaborateur	University of Toronto and Princess Margaret Hospital
Miyawaki, Atsushi	Cocandidat	RIKEN
Mizrachi, Illene	Collaborateur	National Centre for Biological Information
Moctar, Abdourahmane Ag	Collaborateur	Self-employed
Moll, Sandra	Cocandidat	McMaster University
Moran, Kate	Collaborateur	Réseaux océan Canada
Moola, Faizal	Cocandidat	University of Guelph
Moreau, Christian	Cochercheur principal	Université Concordia
Morel, Alban	Collaborateur	National Research Council
Morshead, Cindi	Cochercheur principal	University of Toronto
Moser, Cindy	Collaborateur	Institute for Work & Health
